day,month,date_str,month_name,anniversary_score,years_in_block,avg_block_length,coverage_percent,efficiency_ratio,score_details
11,12,11/12,December,8,2,23.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
12,12,12/12,December,8,2,23.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
13,12,13/12,December,8,2,23.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
14,12,14/12,December,8,2,23.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
18,12,18/12,December,8,2,20.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
19,12,19/12,December,8,2,20.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
20,12,20/12,December,8,2,20.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
28,12,28/12,December,8,2,22.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
31,12,31/12,December,8,2,20.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
20,4,20/04,April,7,0,0.0,0.0,3.5000000000000004,"{'in_block': 0, 'one_day_away': 0, 'two_days_away': 7, 'other': 43}"
25,7,25/07,July,7,1,27.0,2.0,3.5000000000000004,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 1, 'other': 47}"
19,9,19/09,September,7,1,27.0,2.0,3.5000000000000004,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 1, 'other': 47}"
20,9,20/09,September,7,1,24.0,2.0,3.5000000000000004,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 1, 'other': 47}"
27,9,27/09,September,7,1,27.0,2.0,3.5000000000000004,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 1, 'other': 47}"
20,10,20/10,October,7,1,23.0,2.0,3.5000000000000004,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 1, 'other': 47}"
7,12,07/12,December,7,1,26.0,2.0,3.5000000000000004,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 1, 'other': 47}"
25,6,25/06,June,6,1,23.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
2,7,02/07,July,6,1,21.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
10,7,10/07,July,6,1,29.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
10,8,10/08,August,6,1,26.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
26,8,26/08,August,6,1,23.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
11,9,11/09,September,6,1,27.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
